Milton-winnow, blow a current of air to remove the chaff, 1
Conrad-quay, pier, 0
Conrad-gaff, fish hook, 1
parlance, talk, 0
attrition, weaken, 0
runlet, little river, 0
passe, roulette or out of fashion, 0
grandiloquent, bombastic, 1
Milton-transverse, crosswise, 0
rapacious, greedy, 0
abase, degrade, 0
manna, miracle bread, 1
splutter, short explosive choking noise, 0
paten, eucharist plate, 1
rejoinder, reply, 0
dun, dull gray-brown, 0
truncheon, club, 0
filbert, chestnut, 0
cloying, mawkish, 0
oblique, slanted, 0
beech, hardwood tree, 0
contravene, in violation, 0
obdurate, stubborn, 0
portulaca, tropic flowering plant, 0
cutlet, patty, 1
neologism, new word, 0
basalt,volcanic rock, 0
expeditious, prompt, 0
Conrad-alabaster, gypsum, 0
Melville-font, fount esp receptable for baptismal water, 1
pliant, pliable, 0
mattock, agricultural pickax, 0
importune, urge, 0
cadre, group of military, 1
consternation, horror, 0
Milton-adamantine, unbreakable, 1
auriferous, golden, 1
Ford-saturnalis, melancholy, 1
banal, obvious, 0
invective, harsh words, 0
polonaise, slow Polish dance , 1
wanton, lewd, 0
winsome, handsome, 1
ostracize, alienate, 1
indemnify, compensate, 0
nom de plume, pen name, 1
mileau, social condition, 1
Milton-descant, talk tediously at length, 0
bravura, virtuoso perf, 0
Greene-pince-nez, glasses without ears, 1
pelf, money, 0
moribund, at the point of death, 1
colic, abdominal pain, 0
metallurgy, working metal, 0
abortive, abandoning, 0
roue, debauched man, 0
nasturtium, still life flower, 0
zygote, fertilized egg, 1
involution, complexity, 0
alfalfa, healthy sprouts, 1
plover, wading bird, 0
sycamore, american plane tree, 0
mimosa, australian acacia tree, 1
Melville-halyard, rope to raise a sail, 1
twine, strong string, 0
wheal, cyst, 0
vitriol, sulphuric acid, 0
stein, large earthenware beer mug, 1
whisk, quickly go, 0
sallow, yellow or willow tree, 1
McCarthy-halm, stem of a bean/grass/etc, 0
mackintosh, raincoat, 1
pejorative, negative, 1
largess, generosity, 1
perfunctory, going through the motions, 1
garble, botch, 0
Milton-hurdled, enclose with hurdles, 0
plebiscite, vote by people, 0
mestizo, mexican indain, 1
sinecure, position with little work, 1
bill of fare, menu, 1
cirrus, feathery cloud, 1
sponger, mouch, 0
legatee, receiver of legacy, 1
inchoate, beginning, 1
poppy, opium, 1
waft, float, 0
kingfisher, bright bird, 1
table d'hote, set meal, 1
hallow, sanctified, 1
namby pamby, weak, 0
gambol, cavort, 1
camber, shallow upward curve, 1
Ford-trinkgeld, tip (money), 0
Milton-plat, plot of land, 0
pate, head, 0
maw, mouth and throat, 1
loganberry, black and rasberry, 1
euphonious, pleasant sounding, 0
sorrel, plant used for salad, 1
otiose, impractical, 0
reprisal, in retaliation, 0
nubile, suitable for marriage, 1
cheesecloth, used in cooking, 0
accretion, accumulate by addition, 1
scrofula, tuberculosis, 1
tawdry, gaudy, 0
Ford-propinquity, close to something, 0
tanager, bright bird, 0
jag, cut egde, 0
regale, entertain with talk, 0
grackle, common bird, 0
adulation, praise, 0
neuralgia, pain in nerves, 0
impinge, infringe, 1
tule, bulrush in Cali, 0
geld, castrate, 1
impanel, enroll for jury, 1
brooch, woman's pin, 1
constable, policeman, 1
